player_name,team,position,projected_points,ceiling_points
Josh Allen,BUF,QB,379.6,438.1
Jalen Hurts,PHI,QB,360.4,425.3
Lamar Jackson,BAL,QB,355.7,432.4
Christian McCaffrey,SF,RB,286.8,351.7
Bijan Robinson,ATL,RB,274.3,338.4
Breece Hall,NYJ,RB,259.1,326.8
CeeDee Lamb,DAL,WR,292.7,355.9
Tyreek Hill,MIA,WR,288.9,366.5
Ja'Marr Chase,CIN,WR,274.4,347.8
Amon-Ra St. Brown,DET,WR,266.8,330.1
Justin Jefferson,MIN,WR,264.6,346.4
Sam LaPorta,DET,TE,219.1,270.8
Travis Kelce,KC,TE,212.5,261.3
Trey McBride,ARI,TE,194.7,246.2
Jake Elliott,PHI,K,145.8,168.2
Brandon Aubrey,DAL,K,144.7,167.5
Jets,NYJ,DST,128.4,154.6
Ravens,BAL,DST,126.3,149.1
